youtuber_name,playlist_title,playlist_url,video_title,video_address,video_thumbnail
PONY Syndrome,Get Ready With Me!,https://www.youtube.com/playlist?list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP,Shanghai Trip ‘get ready with me’ (With subs) 중국 상해 출장 겟레디윗미! GRWM,https://www.youtube.com/watch?v=Gqa9svhOHCo&list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP&index=5&t=0s,https://i.ytimg.com/vi/Gqa9svhOHCo/maxresdefault.jpg
PONY Syndrome,Get Ready With Me!,https://www.youtube.com/playlist?list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP,Apricot Make Up🍑 (With subs) 살구 메이크업,https://www.youtube.com/watch?v=AvK3g2Va-2c&list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP&index=6&t=0s,https://i.ytimg.com/vi/AvK3g2Va-2c/maxresdefault.jpg
PONY Syndrome,Get Ready With Me!,https://www.youtube.com/playlist?list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP,Natural Make up (With subs) 내추럴 메이크업,https://www.youtube.com/watch?v=tRUGnDVnI60&list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP&index=7&t=0s,https://i.ytimg.com/vi/tRUGnDVnI60/maxresdefault.jpg
PONY Syndrome,Get Ready With Me!,https://www.youtube.com/playlist?list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP,Tokyo Trip GRWM (With subs) 키라키라 이가리 메이크업 (숙취메이크업),https://www.youtube.com/watch?v=VM9_5yI4mfQ&list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP&index=8&t=0s,https://i.ytimg.com/vi/VM9_5yI4mfQ/maxresdefault.jpg
PONY Syndrome,Get Ready With Me!,https://www.youtube.com/playlist?list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP,[비공개 동영상],https://www.youtube.com/watch?v=hOxlj8SCrTo&list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP&index=9,https://s.ytimg.com/yts/img/no_thumbnail-vfl4t3-4R.jpg
PONY Syndrome,Get Ready With Me!,https://www.youtube.com/playlist?list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP,Osaka Trip GRWM (With subs) 수채화 치크 메이크업,https://www.youtube.com/watch?v=NNt-SgXJzxo&list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP&index=10&t=0s,https://i.ytimg.com/vi/NNt-SgXJzxo/maxresdefault.jpg
PONY Syndrome,Get Ready With Me!,https://www.youtube.com/playlist?list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP,PONY THE GLOBETROTTER + GRWM (With subs) - TOKYO 포니 더 글로브 트롯터 + 이가리 메이크업 겟레디윗미 - 도쿄 편,https://www.youtube.com/watch?v=708m0DBcsaM&list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP&index=11&t=0s,https://i.ytimg.com/vi/708m0DBcsaM/maxresdefault.jpg
PONY Syndrome,Get Ready With Me!,https://www.youtube.com/playlist?list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP,Pony in LA,https://www.youtube.com/watch?v=JMClWKtLndY&list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP&index=12&t=0s,https://i.ytimg.com/vi/JMClWKtLndY/maxresdefault.jpg
PONY Syndrome,Get Ready With Me!,https://www.youtube.com/playlist?list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP,PONY THE GLOBETROTTER + GRWM (With subs) - LA 포니 더 글로브 트롯터 + 겟레디윗미 - 엘에이 편,https://www.youtube.com/watch?v=qbBGJY0wFFc&list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP&index=13&t=0s,https://i.ytimg.com/vi/qbBGJY0wFFc/maxresdefault.jpg
PONY Syndrome,Get Ready With Me!,https://www.youtube.com/playlist?list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP,Instagram Live broadcast Make up (With subs) 인스타그램 라이브 방송 메이크업,https://www.youtube.com/watch?v=9sfdPfojPmY&list=PLj6FeOwWCFCouYXKJ1yD7FYqXznpQveQP&index=14&t=0s,https://i.ytimg.com/vi/9sfdPfojPmY/maxresdefault.jpg
