youtuber_name,video_title,video_address,video_thumbnail
씬님,1교시 : 고렴이 저렴이 화장품 비교경제학 | SSIN,https://www.youtube.com/watch?v=1WwlKrcM6fg,https://i.ytimg.com/vi/1WwlKrcM6fg/maxresdefault.jpg
씬님,0교시 : 새내기 위크 공지 | SSIN,https://www.youtube.com/watch?v=NF_S_dNYWbI,https://i.ytimg.com/vi/NF_S_dNYWbI/maxresdefault.jpg
씬님,메이크업 뮤지컬 ~오페라의유령~ (유튜브 팬페스트 코리아 2018) | SSIN,https://www.youtube.com/watch?v=eZexdIlEO94,https://i.ytimg.com/vi/eZexdIlEO94/maxresdefault.jpg
씬님,오페라의 유령 '크리스틴' 메이크업 튜토리얼 | SSIN,https://www.youtube.com/watch?v=MSBu5Q6LSsI,https://i.ytimg.com/vi/MSBu5Q6LSsI/maxresdefault.jpg
씬님,방방! 트램폴린 위에서 메이크업하기 도전 | SSIN,https://www.youtube.com/watch?v=r3VbHisDDkQ,https://i.ytimg.com/vi/r3VbHisDDkQ/maxresdefault.jpg
씬님,타겟에 화장품 사러 갔다가....뭘 샀을까..? | SSIN,https://www.youtube.com/watch?v=kRBNF_8ndQI,https://i.ytimg.com/vi/kRBNF_8ndQI/maxresdefault.jpg
씬님,호흡곤란!! 미쳐버리는 미국 세포라 신상 하울 | SSIN,https://www.youtube.com/watch?v=A5J9De7jY7M,https://i.ytimg.com/vi/A5J9De7jY7M/maxresdefault.jpg
씬님,씬님이 제일 좋아하는 화장품은 뭘까요 라고 물으신다면…? | SSIN,https://www.youtube.com/watch?v=1Fhp3wXLHZY,https://i.ytimg.com/vi/1Fhp3wXLHZY/maxresdefault.jpg
씬님,🗽뉴욕에서 같이 화장하자! 쉬크하게 겟레디윗미 | SSIN,https://www.youtube.com/watch?v=0FjJekyYyro,https://i.ytimg.com/vi/0FjJekyYyro/maxresdefault.jpg
씬님,최근 건강의 중요성을 느낀 씬님의 헬씨 메이크업 feat.NIKE | SSIN,https://www.youtube.com/watch?v=LXO84MhB_7I,https://i.ytimg.com/vi/LXO84MhB_7I/maxresdefault.jpg
씬님,[WANNA ONE] 워너원 하성운 메이크업 튜토리얼 | SSIN,https://www.youtube.com/watch?v=lJqVrdMJ6QI,https://i.ytimg.com/vi/lJqVrdMJ6QI/maxresdefault.jpg
씬님,브라질리언 왁싱 리뷰! 새로운 세상을 만나버렸다. | SSIN,https://www.youtube.com/watch?v=-IXQOOrlsIM,https://i.ytimg.com/vi/-IXQOOrlsIM/maxresdefault.jpg
씬님,"닥터씬, 나만의 파운데이션을 찾아줘! (팬 초청편) ~유목민의 눈물~ | SSIN",https://www.youtube.com/watch?v=VIv0zvxvD7Y,https://i.ytimg.com/vi/VIv0zvxvD7Y/maxresdefault.jpg
씬님,"2018년, 2018만원 기부합니다. | SSIN",https://www.youtube.com/watch?v=mRxZLxB-Ucw,https://i.ytimg.com/vi/mRxZLxB-Ucw/maxresdefault.jpg
씬님,2017년 정리 // 2018년 목표 | SSIN,https://www.youtube.com/watch?v=8DZkrv1DSqk,https://i.ytimg.com/vi/8DZkrv1DSqk/maxresdefault.jpg
