youtuber_name,video_id,update,description
씬님,/watch?v=rcrrxPRwIb8,"Published on Feb 20, 2017","♥Hi guys this is SSIN. TODAY I'm doing my makeup while only speaking in English. I've been studying English with Hover for the last 2 years! We're going to get ready together and share my 3 English learning tips! Now, let's start with the makeup!



♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!



[Follow me on SNS]
- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTE  : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=XRWjDW2VgEI,"Published on Feb 16, 2017","♥ Hi guys this is SSIN. I’m going to show you my JYJ JaeJoong inspired makeup look which you guys requested. A lot of you guessed it right on Instagram. I personally LOVE this grey neutral smokey look. I love this kind of makeup more than anything. It should be my daily makeup. Then, let’s begin the tutorial! 

♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=sXyiic3ruJk,"Published on Feb 13, 2017","♥ 

♥ 즐겁게 보셨다면 좋아요+덧글 부탁드릴게요 안녕~ 
If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=k_kY2I2CN30,"Published on Feb 9, 2017","♥ Hi guys this is SSIN. Today’s the day I get my hair done. It’s been about 6 months since I stopped dying my hair after rainbow hair disaster. My hair’s quite long, now. But I haven’t decided what I'm doing with it. To be honest, dying my hair in rainbow colors and shaving my head were on my bucket list. Let’s see together if the rest of the bucket list has come true.

♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS]
- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=2Gz2Tc_4asg,"Published on Feb 7, 2017","♥ Hi guys this is SSIN. Today’s makeup is not inspired by Ruky, but by SNOW the filter app. You guys all know the app SNOW, right? They have BTS and Goblin stickers, anyway they’re actively collaborating with brands. This time, they’re with me! Since I am a beauty guru, so I drew this filter on my face.Then, let’s begin the tutorial. 


♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=xrG3-jcaNpk,"Published on Feb 3, 2017","♥ Hi guys this is SSIN. A few days ago I held a fun giveaway on Instagram. “HOW MANY LIP PRODUCTS DOES SSIN OWN?” So today, I’ll count all of them. BUT our journey isn’t over yet. We will go on. The next episode is “CUSHIONS"" Then, let’s begin the first episode.

♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!

- INSTAGRAM : http://www.instagram.com/ssinnim
- TWITTER : https://twitter.com/ssinnim
- SNAPCHAT : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=snZFO4ZT7GI,"Published on Jan 31, 2017","♥ Hi guys this is SSIN. I’m back with a new girl group idol inspired makeup! It’s lovely Lisa from Blackpink. Big and pretty facial features, especially the adorable smiles! I was especially inspired by this picture. Then, let’s begin the tutorial. 

♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=gn1mM4IKTdI,"Published on Jan 26, 2017","♥ Hi guys this is SSIN. Today I'm gonna unbox my new contacts from overseas. These contacts remind me of rainbow, aurora, and unicorns. There are 4 colors and so unique. So, today I'm gonna pick my favorite shade and do a pretty makeup look inspired by the graphic. +with Gong Yoo hair lol. Let's begin!


♥ 제품정보: Danna 7con Rainbow Series ($ 49.90) - DIA 4.2mm
 구매처 : https://www.19ninety-six.com/product-...


♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=7uTim8Bbtco,"Published on Jan 23, 2017","♥ All review is based on my personal opinion.

♥ Hi guys this is SSIN. Today, I'm gonna do an extension of the Makeup using products I hate challenge, Full face of makeup using pretty but trash items. it's too pretty to let go but never use it in real life. So let me show my hate makeup.


♥ If you enjoyed, plz subscribe skin and leave comments! Thank you!




[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=_2DXeaIKs4w,"Published on Jan 19, 2017","♥ Hi guys this is SSIN. Today I'm gonna show you a collab video with #YISEUNGIN. I really wanted to  collab with her and she’s a big fan of mine! Don’t forget to subscribe to YISEUNGIN’s Daily Vlog channel on Youtube. And see you again. 

♥ 승인님의 채널 구경가기!
https://www.youtube.com/channel/UCM1t...

♥ 즐겁게 보셨다면 좋아요+덧글 부탁드릴게요 안녕~ 
If you enjoyed, plz subscribe ssin and leave comments! Thank you! 


[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 :  https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=BaLO-9GYLso,"Published on Jan 17, 2017","♥ Hi guys this is SSIN! Today, I’m gonna review some exciting products! It took me 4 months to get these Harry Potter inspired wand brushes. I discovered these brushes when a fan sent me a photo on Instagram. So I looked everywhere to find the brand. It was an indie brand called #StorybookCosmetics 

♥ (해외직구) 구매처 : https://storybookcosmetics.com/


[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
씬님,/watch?v=_xllyZwMVZ4,"Published on Jan 10, 2017","♥ Hi guys this is SSIN. Today I’ll show you my everyday makeup look which I filmed 2 weeks ago, when I caught a really bad cold. I couldn’t speak at all so my brother did my voice over. It’s ""BROTHER does my voice over"" not ""BOYFRIEND does my voice over"". I hope I can get a real boyfriend to do my voiceover one day..

♥ 즐겁게 보셨다면 좋아요+덧글 부탁드릴게요 안녕~ 
If you enjoyed, plz subscribe ssin and leave comments! Thank you! 


[Follow me on SNS] 씬님의 소식을 실시간으로 만나보세요!

- INSTAGRAM 인스타그램 : http://www.instagram.com/ssinnim
- TWITTER 트위터 : https://twitter.com/ssinnim
- SNAPCHAT 스냅챗 : @SSINNIM

★☆○●◎◇◆□■△▲▷◀▷▶♤♠♡♥♧⊙◈▣◐◑♨♬☏☎☎"
